Date,Subject,Content,ParaphrasedSubject,CompactedSummary,DetailedSummary,Impact
3-Mar-24,BAWAN,"Bawan Co. announces the board of director’s decision to distribute cash dividends for the second half of the year 2023  Element List Explanation
Introduction Bawan Co. announces the board of director’s decision to distribute cash dividends for the second half of the year 2023
Date of the board’s decision 2024-02-29 Corresponding to 1445-08-19
The Total amount distributed 51 million
Number of Shares Eligible for Dividends 60 million shares
Dividend per share 0.85
Percentage of Dividend to the Share Par Value (%) 8.5 %
Eligibility date The entitlement shall be for the shareholders who own the shares at the close of trading on April 3, 2024 and as per the shareholders register in Securities Depository Center (Edaa) at the end of the 2nd trading day following the entitlement date.
Distribution Date April 29, 2024
The name of other official authorities and the details of their non-refusal to the recommendation or decision Not applicable
Additional Information The Company urges its stakeholders to update their data and to link their bank accounts numbers to their investment portfolios to ensure the receipt of their cash dividends without delay. In case of any inquiries, please contact the Investor Relations Department at the company phone number: 0112917799 EXT 1700",Bawan Co. Declares Cash Dividends for Second Half of 2023,"Bawan Co. announces the distribution of cash dividends for the second half of 2023, with a dividend per share of 0.85, totaling 51 million, payable to shareholders of record on April 3, 2024.","Bawan Co. has announced its board of directors' decision to distribute cash dividends for the second half of the year 2023. The dividend per share amounts to 0.85, with a total distribution of 51 million. Eligibility for dividends is limited to shareholders who own 60 million shares at the close of trading on April 3, 2024, as per the shareholders register in Securities Depository Center (Edaa) at the end of the 2nd trading day following the entitlement date. The distribution date is set for April 29, 2024. Bawan Co. encourages stakeholders to update their data and link their bank accounts to their investment portfolios to ensure timely dividend payments.","Shareholders who meet the eligibility criteria can expect to receive cash dividends from Bawan Co. for the second half of 2023. To facilitate seamless dividend disbursement, stakeholders are advised to update their personal information and link their bank accounts to their investment portfolios."
3-Mar-24,SABIC AGRI-NUTRIENTS,"Addendum Announcement from SABIC Agri-Nutrients Company on the latest update about the signed Memorandum of Understanding with Saudi Agricultural and Livestock Investment Company (SALIC)  Element List Explanation
Introduction With reference to the announcement of SABIC Agri-Nutrients Company on 28/12/1443H corresponding to 27/07/2022 in regard of signed a Memorandum of Understanding with the Saudi Agricultural and Livestock Investment Company (SALIC) to jointly explore global commercial and innovation opportunities to help ensure food security and address growing environmental challenges and as the work is under process, the parties have agreed to extend this Memorandum of Understanding for two (2) years from the expiration date with the same previous terms and conditions.
Previous Announcement SABIC Agri-Nutrients Company announces signing a Memorandum of Understanding with The Saudi Agricultural and Livestock Investment Company (SALIC)
Date of Previous Announcement on Saudi Exchange’s Website 2022-07-27 Corresponding to 1443-12-28
Hyperlink to the Previous Announcement on the Saudi Exchange Website Click Here
Latest Developments Of The Announced Event Not applicable
Reasons For The Delay on The Date of The Event Previously Announced Work is under process and the parties have agreed to extend this Memorandum of Understanding for two (2) years from the expiration date with the same previous terms and conditions.
The costs associated with the event, and if they have changed or not with indication of the reasons. No material financial impact
Delay consequences on the Company’s financial results N/A",SABIC Agri-Nutrients Company Extends MoU with SALIC for Two Years, SABIC Agri-Nutrients Company and Saudi Agricultural and Livestock Investment Company (SALIC) have agreed to extend their existing MoU for two more years to explore global commercial and innovation opportunities for food security and environmental challenges.," SABIC Agri-Nutrients Company has announced an addendum to their previous memorandum of understanding (MoU) with Saudi Agricultural and Livestock Investment Company (SALIC). The initial MoU, signed on July 27, 2022, aimed to jointly explore global commercial and innovation opportunities to address food security and environmental challenges. As the work is still in progress, the parties have agreed to extend the MoU for an additional two years from its original expiration date, maintaining the same terms and conditions.

No new developments or financial impacts have been reported in conjunction with this extension.", The extension of the MoU between SABIC Agri-Nutrients Company and SALIC demonstrates both parties' commitment to further exploring opportunities for food security and environmental sustainability. This extension does not have any material financial impact on the company.
3-Mar-24,GAS,"Gas Arabian Services Co. Announces Contract Sign Off with Saudi Power Procurement Company (Principal Buyer)  Element List Explanation
Introduction GAS Arabian Services Company announces Contract Sign Off with Saudi Power Procurement Company (Principal Buyer) for Engineering, Procurement and Construction of Taiba GAS Pipeline.
Date of Announcement of the Award 2024-03-03 Corresponding to 1445-08-22
Contract Subject Matter Engineering, Procurement and Construction of Taiba GAS Pipeline.
The Entity with Which the Contract was Signed Saudi Power Procurement Company (Principal Buyer)
Date of Signing the Contract 2024-03-03 Corresponding to 1445-08-22
Contract Value SAR 256,109,696 excluding VAT.
Contract Details Engineering, Procurement and Construction of Taiba GAS Pipeline.
Contract Duration 22 Months
Financial Impact and the Relevant Period The financial impact on the company's financial statements will appear in the year 2024 and 2025.
Related Parties None.",GAS Arabian Services Co. Inks Contract with Saudi Power Procurement Company," GAS Arabian Services Co. has signed a contract with Saudi Power Procurement Company for the Engineering, Procurement and Construction of Taiba GAS Pipeline, valued at SAR 256,109,696 excluding VAT, with a duration of 22 months.","GAS Arabian Services Company has announced the successful signing of a contract with Saudi Power Procurement Company (Principal Buyer) for the Engineering, Procurement and Construction of Taiba GAS Pipeline. The contract, valued at SAR 256,109,696 excluding VAT, was signed on March 3, 2024, and is set to last for 22 months. The financial impact of this contract will be visible in the company's financial statements for the years 2024 and 2025. There are no related parties mentioned in the announcement.","This contract marks a significant milestone for GAS Arabian Services Co., contributing to the company's financial growth in the years 2024 and 2025. The successful partnership with Saudi Power Procurement Company highlights the company's expertise in delivering large-scale engineering, procurement, and construction projects."
3-Mar-24,GAS,"Gas Arabian Services Co. Announces Contract Sign Off with Saudi Power Procurement Company (Principal Buyer)  Element List Explanation
Introduction GAS Arabian Services Company announces Contract Sign Off with Saudi Power Procurement Company (Principal Buyer) for Engineering, Procurement and Construction of Qassim GAS Pipeline.
Date of Announcement of the Award 2024-03-03 Corresponding to 1445-08-22
Contract Subject Matter Engineering, Procurement and Construction of Qassim GAS Pipeline.
The Entity with Which the Contract was Signed Saudi Power Procurement Company (Principal Buyer)
Date of Signing the Contract 2024-03-03 Corresponding to 1445-08-22
Contract Value SAR 341,903,686 excluding VAT.
Contract Details Engineering, Procurement and Construction of Qassim GAS Pipeline.
Contract Duration 22 Months
Financial Impact and the Relevant Period The financial impact on the company's financial statements will appear in the year 2024 and 2025.
Related Parties None.",GAS Arabian Services Co. Inks Contract with Saudi Power Procurement Company," GAS Arabian Services Co. has signed a contract with Saudi Power Procurement Company for Engineering, Procurement and Construction of Qassim GAS Pipeline worth SAR 341,903,686 excluding VAT, lasting 22 months.","GAS Arabian Services Company has announced the successful signing of a contract with Saudi Power Procurement Company (Principal Buyer) for the Engineering, Procurement and Construction of the Qassim GAS Pipeline. The contract, valued at SAR 341,903,686 excluding VAT, was signed on March 3, 2024 (corresponding to 1445-08-22) and will last for 22 months. The financial impact of this contract will be visible in the company's financial statements for the years 2024 and 2025. There are no related parties mentioned in the announcement.","This contract marks a significant milestone for GAS Arabian Services Co., providing a substantial financial boost in the years 2024 and 2025. By winning this project, the company reinforces its presence in the engineering, procurement, and construction sector, while contributing to Saudi Arabia's infrastructure development."
3-Mar-24,ADVANCED,"ADVANCED PETROCHEMICAL COMPANY ANNOUNCES THE LATEST DEVELOPMENTS REGARDING THE SHUTDOWN OF ITS PROPYLENE & POLYPROPYLENE PLANTS FOR PERIODIC SCHEDULED MAINTENANCE ACTIVITIES  Element List Explanation
Introduction Advanced Petrochemical Company (Company) is pleased to announce the resumption of operations of its polypropylene plant from 27/02/2024 and propylene plant from 03/03/2024 after the successful completion of all required routine and preventive maintenance in accordance with the occupational safety and health standards approved by the Company as per schedule.
Previous Announcement The shutdown of the Company's propylene & polypropylene plants for periodic scheduled maintenance activities
Date of Previous Announcement on Saudi Exchange’s Website 2024-01-28 Corresponding to 1445-07-16
Hyperlink to the Previous Announcement on the Saudi Exchange Website Click Here
Latest Developments Of The Announced Event All preventive maintenance operations were completed successfully in accordance with the company’s approved occupational safety and health standards. Operations have been resumed at its propylene and polypropylene plants as per schedule.
Reasons For The Delay on The Date of The Event Previously Announced None
The costs associated with the event, and if they have changed or not with indication of the reasons. There is no material or significant change in the costs associated with the maintenance activities.
Delay consequences on the Company’s financial results There is no change in the financial impact of the previously announced event, as the expected financial impact for this shutdown will be reflected in the financial statements of the first and second quarters of 2024 based on the expected prices of feedstock and Polypropylene.",Advanced Petrochemical Company Resumes Propylene & Polypropylene Plant Operations," Advanced Petrochemical Company has resumed operations of its propylene and polypropylene plants following successful completion of scheduled maintenance activities, in line with occupational safety and health standards.","Advanced Petrochemical Company has announced the resumption of operations for its propylene and polypropylene plants, which had been shut down for routine and preventive maintenance. The maintenance activities were carried out according to the company's approved occupational safety and health standards and were completed successfully. The plants resumed operations on the scheduled dates, with no significant changes in the associated costs or consequences on the company's financial results. The expected financial impact of the shutdown will be reflected in the first and second quarters of 2024, as initially announced.","The resumption of operations at Advanced Petrochemical Company's propylene and polypropylene plants indicates the successful execution of scheduled maintenance activities. The financial impact of the shutdown remains unchanged, with no adverse effects on the company's financial results."
3-Mar-24,ALASEEL,"Clarification Announcement from Thobe Al-Aseel Regarding Changes in Major Shareholders' Ownership Percentage in the Company  Element List Explanation
Announcement Detail Thobe Al-Aseel Company announces that it has received a clarifying letter dated March 2, 2024, from its shareholder, Mr. Faisal Abdullah Al-Jedaie, the Chairman of its Board of Directors and one of its former major shareholders. The letter states the transfer of ownership of a portion of his shares, representing 2.5% of the company's shares, to his sons. This resulted in a change in the list of major shareholders in Thobe Al- Aseel Company.",Thobe Al-Aseel Notifies Change in Major Shareholders,"Thobe Al-Aseel announces that Chairman Mr. Faisal Abdullah Al-Jedaie transferred 2.5% of his shares to his sons, causing a shift in the major shareholders list.","Thobe Al-Aseel, a company based in an unspecified jurisdiction, has released a clarification statement regarding changes in its major shareholders. According to the announcement, Thobe Al-Aseel received a letter dated March 2, 2024, from its chairman and former major shareholder, Mr. Faisal Abdullah Al-Jedaie. The letter revealed that Mr. Al-Jedaie had transferred a portion of his shares, equivalent to 2.5% of the company's total shares, to his sons. As a result, the composition of major shareholders in Thobe Al-Aseel has changed.","This announcement highlights a modification in Thobe Al-Aseel's major shareholders due to Mr. Al-Jedaie's share transfer to his sons. Investors should take note of this change, as shifts in shareholding might affect the company's strategic direction and financial performance."
3-Mar-24,GROUP FIVE,"Group Five Pipe Saudi Co. Announces Appointment Audit Committee Member  Element List Explanation Element List Explanation
Appointed Member Name According to the instructions related to announcements for companies listed on the parallel market, it is sufficient that the Announcement be in Arabic only
Membership Start Date 2024-03-01 Corresponding to 1445-08-20
Brief Resume of the Appointed Member According to the instructions related to announcements for companies listed on the parallel market, it is sufficient that the Announcement be in Arabic only
The date of the approval by other official authorities N/A Element List Explanation
Appointed Member Name According to the instructions related to announcements for companies listed on the parallel market, it is sufficient that the Announcement be in Arabic only
Membership Start Date 2024-03-01 Corresponding to 1445-08-20
Brief Resume of the Appointed Member According to the instructions related to announcements for companies listed on the parallel market, it is sufficient that the Announcement be in Arabic only
The date of the approval by other official authorities N/A Element List Explanation
Appointed Member Name According to the instructions related to announcements for companies listed on the parallel market, it is sufficient that the Announcement be in Arabic only
Membership Start Date 2024-03-01 Corresponding to 1445-08-20
Brief Resume of the Appointed Member According to the instructions related to announcements for companies listed on the parallel market, it is sufficient that the Announcement be in Arabic only
The date of the approval by other official authorities N/A Element List Explanation
Date of Board Meeting in which Appointed New Member(s) were Appointed 2024-02-29 Corresponding to 1445-08-19",Group Five Pipe Saudi Co. Appoints Audit Committee Member," Group Five Pipe Saudi Co. has appointed a new audit committee member, effective March 1, 2024. The appointment was made during a board meeting on February 29, 2024.","Group Five Pipe Saudi Co. has announced the appointment of a new member to its audit committee. The appointed member's name, as well as their brief resume, are provided according to the instructions related to announcements for companies listed on the parallel market. The membership start date for the new appointee is March 1, 2024, corresponding to 1445-08-20. The appointment was approved during a board meeting on February 29, 2024, corresponding to 1445-08-19. The date of approval by other official authorities is not specified in the announcement.",The addition of a new audit committee member to Group Five Pipe Saudi Co. demonstrates the company's commitment to maintaining strong corporate governance practices. This appointment will contribute to the oversight of the company's financial reporting and internal control processes.
3-Mar-24,GROUP FIVE,"Group Five Pipe Saudi Co. Announces the Results of the Extraordinary General Assembly Meeting, ( First Meeting )  Element List Explanation
City and Location of the General Assembly's Meeting According to the instructions related to advertisements for companies listed on the parallel market, it is sufficient that the advertisements be in Arabic only
Date of the General Assembly's Meeting 2024-02-29 Corresponding to 1445-08-19
Time of the General Assembly’s Meeting 19:30
Percentage of Attending Shareholders 82.4%
Names of the Board of Directors' Members Present at the General Assembly's Meeting and Names of the Absentees According to the instructions related to advertisements for companies listed on the parallel market, it is sufficient that the advertisements be in Arabic only
Names of the Chairmen of the Committees Present at the General Assembly's Meeting or Members of such Committees Attending on Their Behalf According to the instructions related to advertisements for companies listed on the parallel market, it is sufficient that the advertisements be in Arabic only
Voting Results on the Items of the General Assembly's Meeting Agenda's According to the instructions related to advertisements for companies listed on the parallel market, it is sufficient that the advertisements be in Arabic only",Group Five Pipe Saudi Co. Reveals Outcomes of Extraordinary General Assembly Meeting," Group Five Pipe Saudi Co. disclosed the results of its Extraordinary General Assembly Meeting, held on February 29, 2024, with 82.4% of attending shareholders. Details of the meeting's proceedings are available in Arabic.","Group Five Pipe Saudi Co. has published the outcomes of its Extraordinary General Assembly Meeting, which took place on February 29, 2024. The meeting was attended by 82.4% of the company's shareholders.
In compliance with regulations for companies listed on the parallel market, the announcement is presented solely in Arabic, providing information on the city and location of the gathering, names of board members present, committee chairpersons or members in attendance, and the voting results on the meeting's agenda items.
For detailed insights, interested parties are encouraged to refer to the Arabic version of the announcement.","The announcement impacts shareholders and stakeholders of Group Five Pipe Saudi Co., who should refer to the Arabic version for specific meeting details. The high attendance rate indicates strong shareholder engagement, potentially influencing future company decisions."
3-Mar-24,NBM,"No English translation, kindly refer to the Arabic version  Element List Explanation
Introduction No English translation, kindly refer to the Arabic version
City and Location of the General Assembly's Meeting No English translation, kindly refer to the Arabic version
Date of the General Assembly's Meeting 2024-02-29 Corresponding to 1445-08-19
Time of the General Assembly’s Meeting 19:00
Percentage of Attending Shareholders No English translation, kindly refer to the Arabic version
Names of the Board of Directors' Members Present at the General Assembly's Meeting and Names of the Absentees No English translation, kindly refer to the Arabic version
Names of the Chairmen of the Committees Present at the General Assembly's Meeting or Members of such Committees Attending on Their Behalf No English translation, kindly refer to the Arabic version
Voting Results on the Items of the General Assembly's Meeting Agenda's No English translation, kindly refer to the Arabic version",NBM General Assembly Meeting Details," NBM held a General Assembly meeting on 2024-02-29 (1445-08-19) at 19:00. The meeting's attendance, voting results, and attending board members' names are available in the Arabic version."," The National Bank of Mesopotamia (NBM) conducted its General Assembly meeting on 2024-02-29 (1445-08-19) at 19:00. The Arabic version of the announcement contains specifics on the percentage of attending shareholders, names of the present and absent Board of Directors' members, chairmen of committees in attendance, and voting results on the meeting's agenda items. Please refer to the Arabic version for complete details."," This announcement is primarily informational, providing details about NBM's General Assembly meeting. Investors and stakeholders interested in the bank's governance and decision-making processes should refer to the Arabic version for comprehensive insights."
3-Mar-24,ZAIN KSA,"Mobile Telecommunication Company Saudi Arabia ""ZAIN KSA"" announces the Board of Directors’ recommendation to distribute cash dividends to shareholders for the fiscal year 2023  Element List Explanation
Introduction Mobile Telecommunication Company Saudi Arabia ""ZAIN KSA"" announces the Board of Directors’ recommendation to distribute cash dividends to shareholders for the fiscal year 2023
Date of the board’s recommendation 2024-02-28 Corresponding to 1445-08-18
The Total amount distributed 449.365 million SAR
Number of Shares Eligible for Dividends 898.729 million shares
Dividend per share SAR 0.5
Percentage of Dividend to the Share Par Value (%) 5 %
Eligibility date The eligibility of Cash dividends will be to Shareholders who own the company shares on the Eligibility date and are enrolled in the Company's register at Securities Depository Center Company (Edaa) by the end of the second trading day of the day of the General Assembly of the company, which will be announced later.
Distribution Date Distribution date will be announced later after the approval of the General Assembly.
The name of other official authorities and the details of their non-refusal to the recommendation or decision N/A
Additional Information The company urges our respected shareholders to update their banking information to ensure the deposit of the cash dividends directly into their accounts. In addition, we would like to draw the attention of the non-resident foreign investors that the cash dividend distribution which is transferred by the resident financial broker is subject to a withholding tax of 5% according to the provisions of Article (68) of the Income Tax Law and Article (63) of the Implementing Regulations. We are pleased to receive the questions and inquiries of our valued shareholders through the following means of communication: Investors Relations Department via direct call: +966-592448888 E-mailed to investor.relations@sa.zain.com",ZAIN KSA Proposes 2023 Fiscal Year Cash Dividends," ZAIN KSA recommends distributing cash dividends to shareholders for the fiscal year 2023, with a total of 449.365 million SAR, equivalent to 5% of the share par value.","ZAIN KSA, the Mobile Telecommunication Company Saudi Arabia, has announced the Board of Directors' recommendation to distribute cash dividends to shareholders for the fiscal year 2023. The total amount earmarked for distribution is 449.365 million SAR, which translates to a dividend per share of SAR 0.5. The dividend represents 5% of the share par value.
Eligible shareholders are those who own ZAIN KSA shares on the eligibility date and are registered with the Securities Depository Center Company (Edaa) by the end of the second trading day following the announcement of the General Assembly meeting. The distribution date will be communicated after the General Assembly's approval.
ZAIN KSA encourages shareholders to update their banking information to facilitate direct deposit of cash dividends. Non-resident foreign investors should be aware that cash dividends distributed by resident financial brokers are subject to a 5% withholding tax in accordance with the Income Tax Law and Implementing Regulations.",The proposed cash dividend distribution of 449.365 million SAR (5% of the share par value) will benefit eligible ZAIN KSA shareholders. The company's focus on encouraging shareholders to update their banking information ensures a smooth dividend payout process. Foreign investors should take note of the potential 5% withholding tax on cash dividends.
